Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
28-MAR-2019,11463.65,11588.5,11452.45,11570,527678809,25719.65
27-MAR-2019,11531.45,11546.2,11413,11445.05,350446089,18356.52
26-MAR-2019,11375.2,11496.75,11352.45,11483.25,282575496,14611.68
25-MAR-2019,11395.65,11395.65,11311.6,11354.25,294459196,14101.14
22-MAR-2019,11549.2,11572.8,11434.55,11456.9,386193935,19755.74
20-MAR-2019,11553.35,11556.1,11503.1,11521.05,366298049,18311.44
19-MAR-2019,11500.3,11543.85,11451.25,11532.4,326099667,16179.92
18-MAR-2019,11473.85,11530.15,11412.5,11462.2,320250041,16942.22
15-MAR-2019,11376.85,11487,11370.8,11426.85,463704896,25143.26
14-MAR-2019,11382.5,11383.45,11313.75,11343.25,294480678,15661.05
13-MAR-2019,11326.2,11352.3,11276.6,11341.7,382996187,20851.67
12-MAR-2019,11231.35,11320.4,11227,11301.2,391310519,20861.35
11-MAR-2019,11068.75,11180.9,11059.85,11168.05,352242287,17349.95
08-MAR-2019,11038.85,11049,11008.95,11035.4,326569833,14369.77
07-MAR-2019,11077.95,11089.05,11027.1,11058.2,321208766,15321.68
06-MAR-2019,11024.85,11062.3,10998.85,11053,372550850,17850.93
05-MAR-2019,10864.85,10994.9,10817,10987.45,373220239,17960.03
01-MAR-2019,10842.65,10877.9,10823.1,10863.5,308526309,15010.06
28-FEB-2019,10865.7,10865.7,10784.85,10792.5,644159018,27123.34
27-FEB-2019,10881.2,10939.7,10751.2,10806.65,381080073,18313.85
26-FEB-2019,10775.3,10888.75,10729.3,10835.3,414954476,19186.75
25-FEB-2019,10813.25,10887.1,10788.05,10880.1,385905142,16466.09
22-FEB-2019,10782.7,10801.55,10758.4,10791.65,396846597,24386.42
21-FEB-2019,10744.1,10808.85,10721.5,10789.85,279584955,14758.5
20-FEB-2019,10655.45,10752.7,10646.4,10735.45,289195306,13209.71
19-FEB-2019,10636.7,10722.85,10585.65,10604.35,291507060,13765.01
18-FEB-2019,10738.65,10759.9,10628.4,10640.95,345440240,14903.19
15-FEB-2019,10780.25,10785.75,10620.4,10724.4,521876968,20733.95
14-FEB-2019,10786.1,10792.7,10718.75,10746.05,627041405,20797.41
13-FEB-2019,10870.55,10891.65,10772.1,10793.65,321958549,15360.98
12-FEB-2019,10879.7,10910.9,10823.8,10831.4,292314643,14424.78
11-FEB-2019,10930.9,10930.9,10857.1,10888.8,285985383,13818.92
08-FEB-2019,11023.5,11041.2,10925.45,10943.6,352787419,15507.05
07-FEB-2019,11070.45,11118.1,11043.6,11069.4,263544426,13542.69
06-FEB-2019,10965.1,11072.6,10962.7,11062.45,298510497,15172.85
05-FEB-2019,10908.65,10956.7,10886.7,10934.35,268095127,13435.13
04-FEB-2019,10876.75,10927.9,10814.15,10912.25,318300039,15478.81
01-FEB-2019,10851.35,10983.45,10813.45,10893.65,482272661,23112.37
31-JAN-2019,10690.55,10838.05,10678.55,10830.95,604818027,27471.18
30-JAN-2019,10702.25,10710.2,10612.85,10651.8,410107910,21214.81
29-JAN-2019,10653.7,10690.35,10583.65,10652.2,356908994,18832.06
28-JAN-2019,10792.45,10804.45,10630.95,10661.55,419682627,21144.33
